Survey Information
ID,23
Title,eNPS March 2025
Created At,2025-03-17 03:21:16
Buyer Name,Johnny & Jugnu

Employee Statistics
Total Filtered Employees,631
Employees With Responses,454
Pending Employees,177

Response Number,Branch,Designation,Employment type,Time spent with company,"I feel comfortable approaching my Branch Leader when I have doubts or concerns. 
",My Branch Leader takes timely and effective action on employee concerns,I do not feel comfortable reporting workplace issues due to fear of retaliation from management.,My Branch Leader is actively present and engaged in daily operations.,My Branch Leader regularly recognises and appreciates good performance during shifts.,"My Branch Leader clearly communicates company policies, strategies, and changes.",I have always been treated with fairness and respect. ,I feel mentally and emotionally comfortable in my branch.,My colleagues support me during both good and difficult times.,"I feel my workplace is free from verbal, physical or emotional mistreatment.",My colleagues do not make inappropriate comments about my personal or physical attributes.,I feel accepted as part of my team. ,"Everyone at my branch is given equal opportunities for hiring, feedback, and support.",I feel like the workload is fairly distributed among team members,Promotions and career growth at JJ are based on skills and performance rather than favouritism.,I consistently receive constructive feedback from my Manager that helps me improve my performance.,My Manager consistently provides me with guidance for my growth and development.,"I understand JJ’s core values [be the best, empathy, we are one, resilience, happiness, sincerity, homie and innovation] and can apply them in my personal and professional life.",I am satisfied with my salary,I am satisfied with the perks and benefits provided by the Company.,My HR Team is approachable and addresses my concerns in a timely manner.,My company invests in my training and helps me grow in my job,I feel inspired by my training team to be better.,The training I received from my training team helped me do my job better.,"I feel that workplace safety standards and protocols are properly followed, and I feel physically safe at work.","On a scale of 1 to 10, how likely are you to recommend JJ as a workplace to your friends and family? ",What improvements would enhance your experience at JJ?
Response_98,Phase 6,Crew,Contractual,More than 1 year,4. strongly agree,4. Strongly Agree,1. Strongly Disagree,4. Strongly Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,2. Disagree,4. Strongly Agree,3. Agree,3. Agree,4. Strongly Agree,3. Agree,4. Strongly Agree,Training team Jo ka hamari training krway UN ka Hona lazmi hai 
Response_99,Phase 6,Crew,Contractual,More than 1 year,4. strongly agree,3. Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,4. Strongly Agree,"Jj me mujey boht acha feel hota ha kam kar ke jis se Meray Kam me bekhtari ati ha or mazeeid training honi chahiye ham sub ki phir hi ham archive kary ge Apne job ko
"
Response_100,Phase 6,Crew,Part time,3-6 months,4. strongly agree,4. Strongly Agree,2. Disagree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,4. Strongly Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,Nothing 
Response_101,Phase 6,Crew,Contractual,More than 1 year,4. strongly agree,4. Strongly Agree,1. Strongly Disagree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,Hume Kahne ka leya humko chair table provide keye jae 
Response_102,Phase 6,Crew,Contractual,More than 1 year,3. agree,2. Disagree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,1. Strongly Disagree,1. Strongly Disagree,1. Strongly Disagree,1. Strongly Disagree,1. Strongly Disagree,4. Strongly Agree,1. Strongly Disagree,4. Strongly Agree,3. Agree,2. Disagree,4. Strongly Agree,2. Disagree,2. Disagree,4. Strongly Agree,2. Disagree,2. Disagree,3. Agree,2. Disagree,4. Strongly Agree,"1st. Restaurant k bhr esa koi sink ya is trha ki koi chz lgai Jai jis se customer hand wash kr sky ye na hony ki wajh se customer Kafi disappointed  ho jata hy 2nd . Sabhi person k Liye same rules hony chiye but yhan py senior junior ka frak rkha jata hy is chz ko khtm kr k mazeed bhtri Lai ja skti hy 
3rd. Daily base py her person ka 1 ghnta over time lgta hy jis but koi over time count ni kiya jata jis ki wajh se her person disappointed hy ya to time ki Management is trha ki jaiye k pora pora time lgye kindly is chz py focus krin 
Mjhy JJ se bhutt achi omidin Hain AP Meri bT ki radd nhai kringy"
Response_103,Phase 6,Crew,Part time,3-6 months,4. strongly agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,1. Strongly Disagree,1. Strongly Disagree,1. Strongly Disagree,1. Strongly Disagree,4. Strongly Agree,1. Strongly Disagree,1. Strongly Disagree,1. Strongly Disagree,1. Strongly Disagree,1. Strongly Disagree,1. Strongly Disagree,1. Strongly Disagree,1. Strongly Disagree,1. Strongly Disagree,4. Strongly Agree,1. Strongly Disagree,1. Strongly Disagree,1. Strongly Disagree,1. Strongly Disagree,1,"




All ok h bus

"
Response_104,Wehshi Lab,FOH Manager,Permanent,"0-3 months, More than 3 years",4. strongly agree,4. Strongly Agree,1. Strongly Disagree,4. Strongly Agree,"4. Strongly Agree, 3. Agree",4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,10,"Everything is fine no any issue 
"
Response_105,Phase 6,FOH Manager,Permanent,More than 3 years,4. strongly agree,4. Strongly Agree,1. Strongly Disagree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,10,"I have faced an issue on my development and also park and benefits like bonuses 

Company missed communication in bonuses month January batya tha or abi march bi end hogya hai abi tk bonuses divide nai howy is bat sy m pareshan ho ....

Iny chayie Jo time batate hai osi time pe divide bi kry 

Baqi har Kam sy company 10/10 hai "
Response_106,Bahria Town,Crew,Permanent,More than 3 years,4. strongly agree,4. Strongly Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,3. Agree,4. Strongly Agree,3. Agree,3. Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,1. Strongly Disagree,3. Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,2. Disagree,10,"Me Apne all managers se happy ho chahe wo branch se related manager ha ya hr all perfect staff
Bonas issue I don't understand "
Response_107,Bahria Town,FOH Manager,Permanent,6 months to 1 year,4. strongly agree,4. Strongly Agree,1. Strongly Disagree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,1. Strongly Disagree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,10,Salary and Bonus Should be according To Offer Letter 
Response_108,Wehshi Lab,BOH Manager,Permanent,More than 3 years,4. strongly agree,4. Strongly Agree,1. Strongly Disagree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,"4. Strongly Agree, 3. Agree",3. Agree,3. Agree,3. Agree,4. Strongly Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,"4. Strongly Agree, 3. Agree",2. Disagree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,10,"Work on my growth
"
Response_109,Bahria Town,Crew,Permanent,More than 3 years,4. strongly agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,10,"Employees meal not good,  not to be emprove. "
Response_110,Phase 6,BOH Manager,Permanent,More than 3 years,4. strongly agree,3. Agree,3. Agree,4. Strongly Agree,3. Agree,4. Strongly Agree,3. Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,4. Strongly Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,3. Agree,3. Agree,4. Strongly Agree,10,"People Development Stop in Company 
Bonus not Received Timely from the HR Side "
Response_111,Bahria Town,Crew,Permanent,More than 3 years,4. strongly agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,10,My jj experience is very good  team of jj is very cooperative    the branch leader is  impressive  the alway treat everyone equal  butt the quality of meal not well   Jo Khana hamary khany KY laye ata ha the quality of food very baad  the food Vander not provide the good quality  the food was very baad
Response_112,Johar Town Branch,Delivery Rider,Permanent,More than 1 year,1. strongly disagree,2. Disagree,3. Agree,3. Agree,3. Agree,4. Strongly Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,1. Strongly Disagree,4. Strongly Agree,2. Disagree,1. Strongly Disagree,4. Strongly Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,9,Shirts need to be changed after 6 months and bonus not provided timely 
Response_113,Cloud Kitchen,BOH Manager,Permanent,More than 3 years,3. agree,4. Strongly Agree,1. Strongly Disagree,3. Agree,4. Strongly Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,4. Strongly Agree,2. Disagree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,10,"Staff Food quality not good
Staff drinking water not available 
Staff facilities not good like washroom, training room, food area, office room all things not available over branch 
Over branch all station like fryer ,UHC, UFC, Chiller, 
Need change all things "
Response_114,Bahria Town,Crew,Permanent,0-3 months,4. strongly agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,10,"Khana thk nahe ata, mehrbani kr ka khana thk bhaj diya kre. "
Response_115,Johar Town Branch,Crew,Contractual,More than 1 year,4. strongly agree,4. Strongly Agree,1. Strongly Disagree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,10,Training properly and new product lunched the all branches 
Response_116,Johar Town Branch,FOH Manager,Permanent,More than 1 year,4. strongly agree,3. Agree,1. Strongly Disagree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,4. Strongly Agree,3. Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,4. Strongly Agree,10,"I want JJ to work more on my personal growth 
As i already Performed well and the company is working on our growth but i want them to Launch some kind of course like FLDP 
And kindly provide Company Policy Books on every outlet "
Response_117,Johar Town Branch,Crew,Contractual,6 months to 1 year,4. strongly agree,3. Agree,2. Disagree,2. Disagree,2. Disagree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,4. Strongly Agree,2. Disagree,4. Strongly Agree,2. Disagree,4. Strongly Agree,4. Strongly Agree,3. Agree,4. Strongly Agree,3. Agree,3. Agree,3. Agree,4. Strongly Agree,10,Goood
Response_118,Emporium Branch,BOH Manager,Permanent,More than 3 years,4. strongly agree,4. Strongly Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,3. Agree,3. Agree,3. Agree,4. Strongly Agree,10,Overall good.. Need bonus on time to make sure we balance our life financially.. Thanks.. 
Response_119,Johar Town Branch,Crew,Permanent,More than 3 years,3. agree,3. Agree,2. Disagree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,2. Disagree,2. Disagree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,8,Thank you 
Response_120,Johar Town Branch,Crew,Part time,3-6 months,4. strongly agree,4. Strongly Agree,2. Disagree,3. Agree,3. Agree,4. Strongly Agree,3. Agree,3. Agree,3. Agree,2. Disagree,3. Agree,3. Agree,2. Disagree,2. Disagree,3. Agree,3. Agree,2. Disagree,4. Strongly Agree,2. Disagree,2. Disagree,2. Disagree,3. Agree,3. Agree,4. Strongly Agree,3. Agree,5,"Management should not practice favoritism. Those who work properly should be given opportunities. The crew members should be given a chance, and their names should be mentioned to the management.

"
Response_121,Bahria Town,Delivery Rider,Part time,0-3 months,4. strongly agree,4. Strongly Agree,4. Strongly Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,7,All good  jj😍😍😍
Response_122,Johar Town Branch,Crew,Part time,0-3 months,3. agree,3. Agree,1. Strongly Disagree,4. Strongly Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,4. Strongly Agree,3. Agree,4. Strongly Agree,3. Agree,2. Disagree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,8,Salary bharhai ja sakti hai 
Response_123,Bahria Town,Delivery Rider,Contractual,0-3 months,4. strongly agree,4. Strongly Agree,1. Strongly Disagree,3. Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,4. Strongly Agree,3. Agree,3. Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,3. Agree,3. Agree,4. Strongly Agree,3. Agree,3. Agree,4. Strongly Agree,3. Agree,4. Strongly Agree,10,Hamar delivery manjerWaseem badami boht he acha aur us ka nachar boht acha ha aur jis ki waj sa Ham jj ma boht kush ha
Response_124,Bahria Town,Delivery Rider,Contractual,0-3 months,4. strongly agree,4. Strongly Agree,1. Strongly Disagree,3. Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,3. Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,10,Humara dlevry manjer Waseem bhot acha ha hum jj ma job kr K bhot khush ha yahan sb K sath ak jasa hi brtao kiya jata ha 
Response_125,Bahria Town,Delivery Rider,Part time,0-3 months,4. strongly agree,4. Strongly Agree,1. Strongly Disagree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,1. Strongly Disagree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,10,Salary kam hai parttime ki Baki campny macdonald ho gaya KFC ho gaya Baki or bi brand hai Jo KY part time ko 27775 dy rahy han kindly is py dekh lijga Baki kam my koi issue ni or  maniger bi achy han jo issue ho bat sonty han 
Response_126,Bahria Town,Delivery Rider,Contractual,0-3 months,4. strongly agree,4. Strongly Agree,1. Strongly Disagree,3. Agree,4. Strongly Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,4. Strongly Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,10,JJ is All good 😊
Response_127,Wehshi Lab,Barista Lead,Permanent,More than 3 years,4. strongly agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,1. Strongly Disagree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,10,1 Saal sai zaid walon ki salary b new sai zyada honi chahye.
Response_128,Bahria Town,Crew,Part time,0-3 months,4. strongly agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,3. Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,9,Mere branch leader buhat achy.BL or BOH buhat achy hai wo hmary hr mushkil wqt me sath dety hai hmary masail ko hal krty hai
Response_129,Bahria Town,Crew,Permanent,More than 1 year,4. strongly agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,4. Strongly Agree,2. Disagree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,3. Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,8,".Mery branch manager .ABL. Aur BOH.bhot achy insHaan  haan apni team ko spot krty haan .
. Bonus issues...
.FoH.Roaster managed issues 
Cashier issue 6 months say zyada time ho gya hay cashier ko cash krty
 .Crew  food meal issue "
Response_130,Johar Town Branch,BOH Manager,Permanent,More than 1 year,4. strongly agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,10,All Done
Response_131,Bahria Town,Delivery Rider,Permanent,0-3 months,3. agree,4. Strongly Agree,2. Disagree,3. Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,3. Agree,4. Strongly Agree,3. Agree,3. Agree,3. Agree,3. Agree,2. Disagree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,4. Strongly Agree,3. Agree,3. Agree,3. Agree,4. Strongly Agree,3. Agree,10,"Good job good experience 

"
Response_132,Johar Town Branch,Crew,Part time,3-6 months,3. agree,3. Agree,3. Agree,4. Strongly Agree,3. Agree,2. Disagree,2. Disagree,2. Disagree,3. Agree,1. Strongly Disagree,2. Disagree,1. Strongly Disagree,3. Agree,1. Strongly Disagree,1. Strongly Disagree,2. Disagree,1. Strongly Disagree,4. Strongly Agree,1. Strongly Disagree,1. Strongly Disagree,2. Disagree,2. Disagree,3. Agree,3. Agree,1. Strongly Disagree,7,"I suggest the company for improving the standard and equipment 
The salry and alounceses are not better in this inflation era
You have to improve the cash policy and order taking
There is no equal oppertunities for me or maybe other
The company work is not distributed equal
The promotion chance are less 
The training path for the crew is not better and not equal for everyone
There is no benifits like EOBI ,medical and educational
In other brand salry for part timer is RS 170 per hour like kfc and mcdonald"
Response_133,Johar Town Branch,Crew,Part time,3-6 months,4. strongly agree,4. Strongly Agree,1. Strongly Disagree,4. Strongly Agree,2. Disagree,4. Strongly Agree,4. Strongly Agree,3. Agree,2. Disagree,3. Agree,2. Disagree,3. Agree,3. Agree,1. Strongly Disagree,3. Agree,3. Agree,4. Strongly Agree,3. Agree,1. Strongly Disagree,2. Disagree,2. Disagree,3. Agree,4. Strongly Agree,3. Agree,3. Agree,8,improvement in staff food and also provide a water dispenser for staff for safe and hygienic water 
Response_134,Johar Town Branch,Crew,Contractual,6 months to 1 year,3. agree,3. Agree,2. Disagree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,2. Disagree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,2. Disagree,2. Disagree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,7,JJ ma SB ko sary station par kam karny ma moka milna chahiy 
Response_135,Johar Town Branch,Crew,Part time,3-6 months,2. disagree,2. Disagree,1. Strongly Disagree,4. Strongly Agree,1. Strongly Disagree,1. Strongly Disagree,3. Agree,1. Strongly Disagree,3. Agree,1. Strongly Disagree,3. Agree,3. Agree,3. Agree,2. Disagree,4. Strongly Agree,2. Disagree,2. Disagree,1. Strongly Disagree,3. Agree,3. Agree,3. Agree,2. Disagree,1. Strongly Disagree,2. Disagree,3. Agree,1,"Firstly in this branch , crew should need to learn manner how to talk to other and how calling other member during work . And during the closing time , the man who close the work he  speaks loudly with valgur way . And 90% crew are not fulfilled  with ethics and manner . I'm disagree with this concern . I request you that please improve crew and management behavior with their employees . For the  God , please good and polite behave with each other and employees so that no one hurt by the crew and management such as me."
Response_136,Johar Town Branch,Crew,Contractual,More than 1 year,4. strongly agree,3. Agree,1. Strongly Disagree,4. Strongly Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,2. Disagree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,4. Strongly Agree,3. Agree,4. Strongly Agree,3. Agree,1. Strongly Disagree,3. Agree,3. Agree,3. Agree,3. Agree,2. Disagree,9,Overall good experience 
Response_137,Johar Town Branch,Crew,Part time,6 months to 1 year,3. agree,3. Agree,3. Agree,2. Disagree,3. Agree,3. Agree,1. Strongly Disagree,2. Disagree,2. Disagree,2. Disagree,3. Agree,2. Disagree,2. Disagree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,2. Disagree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,4. Strongly Agree,10,Zabardast ja rhi hy kuch chezeen behtr honi chahiein 
Response_138,Johar Town Branch,Crew,Permanent,More than 3 years,3. agree,3. Agree,3. Agree,3. Agree,3. Agree,4. Strongly Agree,3. Agree,4. Strongly Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,4. Strongly Agree,2. Disagree,3. Agree,3. Agree,2. Disagree,2. Disagree,3. Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,7,Good 
Response_139,Johar Town Branch,Crew,Contractual,More than 1 year,3. agree,3. Agree,2. Disagree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,4. Strongly Agree,3. Agree,3. Agree,4. Strongly Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,4. Strongly Agree,3. Agree,2. Disagree,7,Everything is ok butt friers plzz change
Response_140,Johar Town Branch,Crew,Contractual,More than 1 year,3. agree,3. Agree,2. Disagree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,2. Disagree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,10,Customer service achi honi chaiya 
Response_141,Johar Town Branch,Crew,Contractual,More than 1 year,4. strongly agree,3. Agree,1. Strongly Disagree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,3. Agree,4. Strongly Agree,3. Agree,2. Disagree,3. Agree,4. Strongly Agree,3. Agree,2. Disagree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,2. Disagree,4. Strongly Agree,3. Agree,3. Agree,3. Agree,3. Agree,9,Agr jj ma daining or card ki facility a jay to hm mazeed bhtr kr skty ha jj ko
Response_142,Johar Town Branch,Crew,Contractual,More than 1 year,4. strongly agree,3. Agree,4. Strongly Agree,4. Strongly Agree,2. Disagree,3. Agree,3. Agree,3. Agree,3. Agree,2. Disagree,3. Agree,3. Agree,4. Strongly Agree,3. Agree,4. Strongly Agree,3. Agree,2. Disagree,3. Agree,2. Disagree,3. Agree,3. Agree,3. Agree,2. Disagree,4. Strongly Agree,3. Agree,8,Sir meri duty  cash pr hoti customer ki demand hoti h k card machine ho or dine In ho bus me yahi chata hu is ki weja se restaurant ki growth ho gi 
